370000000000002    American Express Test Card
6011000000000012   Discover Test Card
5424000000000015   MasterCard Test Card
4007000000027      Visa Test Card
4012888818888      Visa Test Card
4222222222222      Visa Error Test


Test Card Brand	Number
American Express 	370000000000002
Discover	6011000000000012
JCB	3088000000000017
Diners Club/ Carte Blanche	38000000000006
Visa	4007000000027
 	4012888818888
 	4111111111111111
Mastercard	5424000000000015
 	2223000010309703
 	2223000010309711
